epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1085.67,1.31695,0.91727,1.16369,0.74173,0.49929,0.60522,0.25137,1.70032,1.06106,1.47842,0.000960682,0.000960682,0.000960682
43,1111.38,1.29357,0.92701,1.15773,0.63088,0.55183,0.58701,0.26141,1.67366,1.0364,1.44114,0.000957015,0.000957015,0.000957015
44,1138.18,1.23379,0.87657,1.12405,0.70368,0.55655,0.65598,0.27659,1.67753,1.00648,1.43967,0.000953349,0.000953349,0.000953349
45,1165.41,1.31849,0.96102,1.20894,0.53997,0.54307,0.56243,0.25786,1.73421,1.08665,1.48731,0.000949683,0.000949683,0.000949683
46,1190.92,1.32884,0.89686,1.19472,0.52424,0.543,0.55279,0.25338,1.78732,1.13432,1.51607,0.000946016,0.000946016,0.000946016
47,1215.94,1.29076,0.90121,1.16358,0.5357,0.63907,0.57782,0.25939,1.71999,1.11318,1.45182,0.00094235,0.00094235,0.00094235
48,1241.43,1.30075,0.88421,1.15266,0.62193,0.57131,0.54455,0.25593,1.7187,1.14186,1.44828,0.000938684,0.000938684,0.000938684
49,1266.7,1.2922,0.90342,1.17183,0.6095,0.55824,0.59028,0.25099,1.73773,1.14061,1.49646,0.000935018,0.000935018,0.000935018
50,1292.01,1.22975,0.89118,1.13063,0.61902,0.5433,0.58394,0.24577,1.80956,1.13272,1.53435,0.000931351,0.000931351,0.000931351
51,1316.85,1.16916,0.82595,1.11042,0.54175,0.58845,0.59187,0.25822,1.7776,1.12031,1.53307,0.000927685,0.000927685,0.000927685
52,1341.44,1.2636,0.81505,1.12961,0.71217,0.56893,0.60148,0.26517,1.7678,1.10644,1.53533,0.000924019,0.000924019,0.000924019
53,1366.38,1.17362,0.81255,1.0932,0.57076,0.50912,0.54241,0.25065,1.79099,1.14442,1.52654,0.000920352,0.000920352,0.000920352
54,1391.11,1.22038,0.79551,1.11258,0.59707,0.54732,0.57304,0.24921,1.84477,1.11285,1.58303,0.000916686,0.000916686,0.000916686
