epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,4438.88,0.73625,0.46932,0.93179,0.66692,0.61833,0.62265,0.28349,1.86561,1.09938,1.66306,0.000469397,0.000469397,0.000469397
177,4463.53,0.70031,0.45481,0.90467,0.7543,0.55234,0.61192,0.2835,1.89468,1.10296,1.6699,0.000465731,0.000465731,0.000465731
178,4488.41,0.73006,0.47607,0.89979,0.74373,0.55802,0.62267,0.27951,1.891,1.08236,1.67086,0.000462065,0.000462065,0.000462065
179,4512.97,0.72423,0.48399,0.91166,0.65621,0.61649,0.65209,0.27984,1.90923,1.04509,1.68932,0.000458399,0.000458399,0.000458399
180,4537.58,0.76637,0.46922,0.92176,0.66602,0.58679,0.63991,0.27765,1.92411,1.05306,1.70468,0.000454732,0.000454732,0.000454732
181,4562.3,0.77984,0.4774,0.92797,0.60315,0.564,0.6014,0.27084,1.91112,1.05345,1.71049,0.000451066,0.000451066,0.000451066
182,4587.05,0.7619,0.4685,0.93509,0.6506,0.57096,0.6192,0.27549,1.90353,1.06351,1.70111,0.0004474,0.0004474,0.0004474
183,4612.2,0.70571,0.46606,0.91217,0.55355,0.5125,0.54429,0.26207,1.89355,1.09941,1.68853,0.000443733,0.000443733,0.000443733
184,4637.29,0.77123,0.49043,0.91461,0.54294,0.53539,0.54505,0.27431,1.89191,1.10035,1.68776,0.000440067,0.000440067,0.000440067
185,4662.63,0.75452,0.47792,0.92682,0.50955,0.56872,0.5316,0.26905,1.86783,1.06932,1.66842,0.000436401,0.000436401,0.000436401
186,4687.83,0.75269,0.46324,0.89425,0.57003,0.59816,0.55902,0.27317,1.84432,1.06523,1.6454,0.000432734,0.000432734,0.000432734
187,4712.73,0.75197,0.46954,0.91444,0.67148,0.60377,0.59573,0.27997,1.83092,1.07058,1.62726,0.000429068,0.000429068,0.000429068
188,4737.83,0.7357,0.46427,0.90971,0.64007,0.65709,0.59631,0.28421,1.83096,1.07063,1.62964,0.000425402,0.000425402,0.000425402
189,4762.58,0.74179,0.46788,0.90792,0.71811,0.63164,0.60421,0.28112,1.85437,1.08431,1.6425,0.000421736,0.000421736,0.000421736
190,4787.36,0.73377,0.45736,0.93171,0.72394,0.58503,0.57626,0.27459,1.84576,1.08669,1.63258,0.000418069,0.000418069,0.000418069
191,4812.16,0.72948,0.44449,0.91889,0.68618,0.6234,0.58693,0.27205,1.82664,1.08677,1.64166,0.000414403,0.000414403,0.000414403
192,4836.82,0.75364,0.47575,0.92649,0.69027,0.6257,0.58454,0.27329,1.80884,1.09911,1.6369,0.000410737,0.000410737,0.000410737
193,4861.49,0.7372,0.47017,0.93238,0.67795,0.61783,0.5878,0.28633,1.82598,1.11321,1.6328,0.00040707,0.00040707,0.00040707
194,4886.27,0.68669,0.42371,0.87898,0.70028,0.61765,0.5882,0.27893,1.84702,1.11211,1.63978,0.000403404,0.000403404,0.000403404
195,4911.25,0.75694,0.45883,0.9306,0.68949,0.61144,0.5986,0.28213,1.86436,1.08644,1.65305,0.000399738,0.000399738,0.000399738
196,4936.23,0.70242,0.43666,0.8916,0.73401,0.56515,0.59376,0.28007,1.87088,1.06333,1.6592,0.000396071,0.000396071,0.000396071
197,4961.04,0.69197,0.45015,0.91084,0.69124,0.56571,0.57911,0.28332,1.88557,1.06078,1.65994,0.000392405,0.000392405,0.000392405
198,4985.87,0.68302,0.44436,0.89405,0.6292,0.64888,0.58834,0.28406,1.89082,1.03704,1.65867,0.000388739,0.000388739,0.000388739
199,5010.89,0.69202,0.44505,0.91046,0.69056,0.66615,0.61093,0.2899,1.88337,1.03818,1.66068,0.000385073,0.000385073,0.000385073
200,5035.84,0.72156,0.47141,0.93055,0.65447,0.66565,0.61738,0.29351,1.86545,1.01953,1.65276,0.000381406,0.000381406,0.000381406
201,5060.99,0.67214,0.42885,0.90083,0.62493,0.67633,0.61118,0.30123,1.85172,1.02676,1.63591,0.00037774,0.00037774,0.00037774
202,5085.74,0.68009,0.42393,0.88817,0.58745,0.65034,0.59688,0.27924,1.85077,1.03592,1.62921,0.000374074,0.000374074,0.000374074
203,5110.55,0.69971,0.44395,0.91807,0.68132,0.57406,0.60418,0.28104,1.85048,0.99075,1.63159,0.000370407,0.000370407,0.000370407
204,5135.17,0.72211,0.45543,0.92319,0.74594,0.56534,0.63348,0.28448,1.84232,0.98507,1.63286,0.000366741,0.000366741,0.000366741
205,5159.85,0.67904,0.42469,0.90043,0.6126,0.64943,0.62301,0.28396,1.84969,0.96233,1.65712,0.000363075,0.000363075,0.000363075
206,5184.32,0.67867,0.43848,0.91592,0.63109,0.66649,0.63668,0.29079,1.85486,0.97952,1.66801,0.000359409,0.000359409,0.000359409
207,5208.89,0.70948,0.43969,0.91454,0.70541,0.61375,0.64338,0.28732,1.83205,0.99202,1.64908,0.000355742,0.000355742,0.000355742
208,5233.52,0.67989,0.42938,0.89807,0.69414,0.62839,0.61036,0.27594,1.84067,0.99971,1.64923,0.000352076,0.000352076,0.000352076
209,5258.54,0.66104,0.42682,0.89304,0.71201,0.58187,0.61388,0.29437,1.84659,1.03645,1.65875,0.00034841,0.00034841,0.00034841
210,5283.29,0.67331,0.43052,0.91271,0.74006,0.5642,0.59826,0.28959,1.84411,1.02893,1.66475,0.000344743,0.000344743,0.000344743
211,5308.14,0.71166,0.44653,0.90991,0.7535,0.58605,0.62258,0.30788,1.85295,1.01354,1.66098,0.000341077,0.000341077,0.000341077
212,5333.27,0.66406,0.41991,0.88632,0.76403,0.59669,0.639,0.30765,1.8633,1.02189,1.66348,0.000337411,0.000337411,0.000337411
213,5358.39,0.66961,0.43127,0.89026,0.65747,0.58451,0.57506,0.28592,1.86618,1.02281,1.66684,0.000333744,0.000333744,0.000333744
214,5383.79,0.71176,0.44837,0.89873,0.62857,0.58476,0.56986,0.28716,1.86567,1.01913,1.66577,0.000330078,0.000330078,0.000330078
215,5408.72,0.66357,0.42777,0.88001,0.67191,0.57448,0.58454,0.29942,1.83867,1.01554,1.66423,0.000326412,0.000326412,0.000326412
216,5433.34,0.65783,0.40317,0.88477,0.62273,0.57105,0.5826,0.29225,1.82912,1.02016,1.66912,0.000322745,0.000322745,0.000322745
217,5458.12,0.67477,0.43204,0.89168,0.62791,0.59322,0.58947,0.29138,1.85416,1.02439,1.68346,0.000319079,0.000319079,0.000319079
218,5482.61,0.66873,0.43789,0.89607,0.64244,0.57713,0.59144,0.28929,1.8618,1.02966,1.6854,0.000315413,0.000315413,0.000315413
219,5507.14,0.6337,0.40472,0.88182,0.70097,0.55476,0.59051,0.2863,1.86246,1.01683,1.68103,0.000311747,0.000311747,0.000311747
220,5531.75,0.65957,0.41561,0.90484,0.71638,0.54492,0.60198,0.29054,1.86184,1.0145,1.68235,0.00030808,0.00030808,0.00030808
221,5556.3,0.66685,0.42021,0.89128,0.64619,0.60904,0.59312,0.28802,1.84339,1.02518,1.66949,0.000304414,0.000304414,0.000304414
222,5581.1,0.61846,0.39609,0.87305,0.67664,0.57347,0.60138,0.29521,1.84348,1.03024,1.66558,0.000300748,0.000300748,0.000300748
223,5605.82,0.61434,0.39325,0.86989,0.62317,0.54358,0.56815,0.2844,1.85104,1.03507,1.66184,0.000297081,0.000297081,0.000297081
224,5630.53,0.6295,0.39828,0.868,0.61078,0.52918,0.56353,0.27853,1.85313,1.03058,1.67118,0.000293415,0.000293415,0.000293415
225,5655.59,0.61293,0.39307,0.88937,0.55564,0.63276,0.58912,0.28939,1.85485,1.03183,1.66921,0.000289749,0.000289749,0.000289749
226,5680.71,0.6767,0.42013,0.8771,0.61349,0.64902,0.59833,0.29594,1.85751,1.02076,1.67137,0.000286083,0.000286083,0.000286083
227,5706.1,0.59075,0.40025,0.87713,0.61962,0.63418,0.60161,0.28979,1.8899,1.02476,1.70521,0.000282416,0.000282416,0.000282416
228,5731.03,0.61542,0.40161,0.87756,0.61362,0.64492,0.59426,0.28913,1.91059,1.03683,1.7198,0.00027875,0.00027875,0.00027875
229,5755.65,0.6359,0.42063,0.89023,0.59191,0.641,0.57473,0.28534,1.92712,1.05448,1.73468,0.000275084,0.000275084,0.000275084
230,5780.53,0.63405,0.40139,0.87306,0.60507,0.62081,0.55805,0.28186,1.9272,1.06353,1.73044,0.000271417,0.000271417,0.000271417
231,5805.19,0.62404,0.39681,0.87428,0.63414,0.59333,0.5792,0.29405,1.88915,1.07428,1.71604,0.000267751,0.000267751,0.000267751
232,5830.06,0.61596,0.40246,0.86729,0.63704,0.59407,0.59308,0.29138,1.867,1.06381,1.70184,0.000264085,0.000264085,0.000264085
233,5854.77,0.61026,0.41046,0.8909,0.69263,0.58249,0.61021,0.30128,1.84612,1.04892,1.66468,0.000260418,0.000260418,0.000260418
234,5879.23,0.62498,0.39098,0.87431,0.65353,0.60859,0.6075,0.30254,1.84678,1.0528,1.66415,0.000256752,0.000256752,0.000256752
235,5903.87,0.60364,0.40051,0.86197,0.69471,0.56688,0.60917,0.30266,1.84526,1.03983,1.66189,0.000253086,0.000253086,0.000253086
236,5928.47,0.62575,0.40067,0.87635,0.70954,0.60557,0.61014,0.30084,1.85946,1.04525,1.67162,0.00024942,0.00024942,0.00024942
237,5953.38,0.57471,0.37053,0.86061,0.72325,0.61115,0.60365,0.2903,1.88644,1.05095,1.69569,0.000245753,0.000245753,0.000245753
238,5978.47,0.61707,0.40167,0.87475,0.62622,0.6188,0.59615,0.2914,1.89577,1.05036,1.70461,0.000242087,0.000242087,0.000242087
239,6003.73,0.58468,0.39951,0.86644,0.6243,0.61104,0.55681,0.2705,1.8954,1.06268,1.69623,0.000238421,0.000238421,0.000238421
240,6029.2,0.64348,0.40194,0.8764,0.58037,0.60173,0.55741,0.27783,1.8862,1.06974,1.68963,0.000234754,0.000234754,0.000234754
241,6054.44,0.59395,0.39582,0.88015,0.5974,0.54901,0.54468,0.27466,1.86956,1.09169,1.67032,0.000231088,0.000231088,0.000231088
242,6079.37,0.61326,0.41145,0.88771,0.55572,0.60094,0.55249,0.27338,1.85887,1.09944,1.65743,0.000227422,0.000227422,0.000227422
243,6104.25,0.58083,0.38281,0.87883,0.59896,0.66256,0.60165,0.28637,1.84771,1.10572,1.63884,0.000223755,0.000223755,0.000223755
244,6129.08,0.61959,0.39545,0.88088,0.61098,0.66738,0.61966,0.28717,1.84792,1.10176,1.63577,0.000220089,0.000220089,0.000220089
